Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,571.680332197051,573.6288941371895,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Q,left,Pretarget,0,1,1,1,575.127849605371,577.1312234816724,left,1,1,1.1045362708391622,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Q,right,Target,0,2,2,2,578.6276455752086,580.6277713296586,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Distractor,0,3,3,3,582.1276972243504,584.1299040224112,left,1,1,0.9857624793658033,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Q,left,Lure,0,4,4,4,585.6277661968197,587.6291674606327,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
L,left,Distractor,0,5,5,5,589.1277392494376,591.1272788983188,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Pretarget,0,6,6,6,592.6276908082946,594.63011093979,left,1,1,1.045710458100075,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,right,Target,0,7,7,7,596.1276696353743,598.1273815550085,left,0,1,0.9882535081414972,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
K,left,Distractor,0,8,8,8,599.627788652957,601.629409345478,left,1,1,0.8945439893577714,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Pretarget,0,9,9,9,603.1276988283498,605.1288408840483,left,1,1,1.2667938326485455,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,right,Target,0,10,10,10,606.6276872794842,608.6273555700609,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,right,Target,0,11,11,11,610.1276003420935,612.1275567130069,right,1,1,0.8602210455283057,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,left,Pretarget,0,12,12,12,613.6275971340656,615.6294106286659,left,1,1,1.278446650278056,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,right,Target,0,13,13,13,617.1272551589645,619.1277658760082,right,1,1,1.011958221293753,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Lure,0,14,14,14,620.6272885224025,622.6283994602854,left,1,1,0.7592893077235203,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Y,left,Distractor,0,15,15,15,624.1274726628326,626.1294119118829,left,1,1,1.0984545035171323,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
B,left,Distractor,0,16,16,16,627.6273632693046,629.6297599822283,left,1,1,0.7018689292308409,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Pretarget,0,17,17,17,631.1278034098505,633.1285258563294,left,1,1,0.6911701772187371,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,right,Target,0,18,18,18,634.6275958508777,636.6278419061273,right,1,1,0.7117688838625327,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,left,Distractor,0,19,19,19,638.1272054346337,640.1303922832885,left,1,1,0.8573460165644065,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Lure,0,20,20,20,641.6276718809677,643.6283590391977,left,1,1,1.1994962764438242,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
J,left,Distractor,0,21,21,21,645.1273324723006,647.1291912000161,left,1,1,0.8183829903136939,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,left,Distractor,0,22,22,22,648.6277280213544,650.6283221469494,left,1,1,1.2234027741651516,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
F,left,Distractor,0,23,23,23,652.1275454849238,654.1277360414097,left,1,1,1.2279289718426298,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
L,left,Distractor,0,24,24,24,655.6273199610005,657.6285431796277,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
W,left,Pretarget,0,25,25,25,659.1276542368578,661.1292797414062,left,1,1,0.9629171951673925,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
W,right,Target,0,26,26,26,662.6277078108105,664.6277427782479,right,1,1,0.7760534661938436,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Distractor,0,27,27,27,666.1278457557491,668.1273119409452,left,1,1,1.2764993811724707,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
W,left,Lure,0,28,28,28,669.6276789386175,671.626914146269,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Pretarget,0,29,29,29,673.127617665421,675.1296781776764,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,right,Target,0,30,30,30,676.6277029987832,678.6276118909591,right,1,1,0.7920858748839237,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
G,left,Distractor,0,31,31,31,680.1271791288455,682.1282310391543,left,1,1,0.7317417055019177,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Lure,0,32,32,32,683.6277219261101,685.6273161113786,left,1,1,1.0244326132524293,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,left,Distractor,0,33,33,33,687.1277636303857,689.1297686438775,left,1,1,0.8819069507007953,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Lure,0,34,34,34,690.6276808634284,692.629973957286,left,1,1,0.8697430952161085,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,left,Pretarget,0,35,35,35,694.1278694951034,696.1273135449737,left,1,1,0.9722441971825901,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
P,right,Target,0,36,36,36,697.627754647925,699.6277209637046,right,1,1,0.9920559761230834,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Y,left,Pretarget,0,37,37,37,701.127928201895,703.1278277908277,left,1,1,0.5162678775086533,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Y,right,Target,0,38,38,38,704.6277068484051,706.6278322820435,right,1,1,0.9197968937223777,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
J,left,Distractor,0,39,39,39,708.1274033695809,710.1280215553415,left,1,1,0.9237456475093495,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Y,left,Lure,0,40,40,40,711.6278117507172,713.6300201527774,right,0,1,1.4377204311895184,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Distractor,0,41,41,41,715.1278082219069,717.1273112993513,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Distractor,0,42,42,42,718.6277414950309,720.6296948593808,left,1,1,1.4461918537854217,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,left,Pretarget,0,43,43,43,722.1278085426893,724.1294311600213,left,1,1,1.3222810573352035,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,right,Target,0,44,44,44,725.6273154697847,727.6279009337304,right,1,1,0.5919236131594516,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,right,Target,0,45,45,45,729.1278557006153,731.1273010336736,right,1,1,0.6124042646260932,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
X,left,Distractor,0,46,46,46,732.6277488734922,734.6294378968596,left,1,1,0.6464680003118701,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Z,left,Distractor,0,47,47,47,736.1276337055315,738.129706087464,left,1,1,0.6500061273400206,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
H,left,Pretarget,0,48,48,48,739.6277594599524,741.6286256258027,left,1,1,1.0391407506831456,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
H,right,Target,0,49,49,49,743.1277925025788,745.1279599613044,right,1,1,0.899891119741369,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
K,left,Distractor,0,50,50,50,746.6277309085708,748.6284671495378,left,1,1,0.8712136523099616,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Pretarget,0,51,51,51,750.1274550187227,752.1276401215582,left,1,1,1.0680706893908791,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,right,Target,0,52,52,52,753.6277453446819,755.6276638609124,right,1,1,0.7360353216063231,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Distractor,0,53,53,53,757.127772933658,759.129286799056,left,1,1,0.8024096091685351,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Lure,0,54,54,54,760.62689842697,762.6289878114476,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Y,left,Distractor,0,55,55,55,764.1277347581927,766.1278422269097,left,1,1,0.7641270042804535,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Q,left,Distractor,0,56,56,56,767.6277325125702,769.6285720518499,left,1,1,0.9272770376992412,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Z,left,Pretarget,0,57,57,57,771.1277719712525,773.1284466181824,left,1,1,1.0913933271949645,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Z,right,Target,0,58,58,58,774.6278220163949,776.6278752695362,right,1,1,0.9517558464431204,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
B,left,Distractor,0,59,59,59,778.1274081816082,780.1288960620295,left,1,1,0.7949907384463586,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,left,Pretarget,0,60,60,60,781.6278457557491,783.6287340569252,left,1,1,0.8631592724996153,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,right,Target,0,61,61,61,785.1274640011834,787.1278470389661,right,1,1,0.8838651270780247,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
T,left,Distractor,0,62,62,62,788.6274694548047,790.6284822272428,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
D,left,Distractor,0,63,63,63,792.1277825577126,794.1287844228791,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
R,left,Distractor,0,0,0,0,811.2732772442687,813.2795069013955,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
V,left,Distractor,0,1,1,1,814.7777668705094,816.7794530066312,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,left,Pretarget,0,2,2,2,818.2778470710327,820.2772494165984,left,1,1,0.9344921990705188,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,right,Target,0,3,3,3,821.7778486750321,823.7778188404336,None,0,1,,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
S,left,Distractor,0,4,4,4,825.2778207652445,827.2795017685858,left,1,1,1.3723650112806354,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
N,left,Lure,0,5,5,5,828.777526910475,830.7782294672215,right,0,1,1.3137021659931634,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
Z,left,Distractor,0,6,6,6,832.2778595823329,834.2799566660251,left,1,1,0.9160736638878006,L24I04,2022-12-01_15h45.33.235,t1_Paradigm,2021.1.4,59.942080596870014,
