Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,4.5,88.46690175026197,6.031297428551625,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,3.4,97.91158348114368,6.012711131728793,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,3.3,107.2613938391296,6.012663332248849,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/143.jpg,1,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,4.7,118.01722962579515,6.0006746462913725,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,4.3,128.37446911303778,6.002787447279843,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,5,5,16,,,,,,,,,,,,,4.6,139.0355573563229,6.0142570758453076,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/124.jpg,1,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,3.4,148.49748186587385,6.007293430073332,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,3.3,157.8507052347486,6.001500711055996,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7004.jpg,1,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,4.5,168.39718605448616,6.009174932929454,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,4.2,178.65462472759828,6.009555724724123,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,10,10,15,,,,,,,,,,,,,4.6,189.32591479053735,6.001729442778014,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,11,11,18,,,,,,,,,,,,,4.9,200.2873470296472,6.011582550816456,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,4.2,210.54850989144325,6.003861171073368,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,13,13,5,,,,,,,,,,,,,3.5,220.09887465918837,6.00431125607065,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,14,14,10,,,,,,,,,,,,,4.9,231.05825376645407,6.000811628680822,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,15,15,19,,,,,,,,,,,,,4.1,241.21309679971273,6.007756347144095,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7041.jpg,1,,,,0,0,0,0,0,16,16,12,,,,,,,,,,,,,4.9,252.16797537781713,5.998812712350627,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,17,17,14,,,,,,,,,,,,,4.9,263.1015851140237,6.014817837480223,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,18,18,3,,,,,,,,,,,,,4.2,273.3688435317854,6.0140796724226675,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,19,19,1,,,,,,,,,,,,,3.4,282.8135688917155,6.007252688239532,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
1,StimuliNeutral.xlsx,1,ANSCHAUEN,21,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.074074074074083,4.816669441603153,25.185185185185176,2.5643934326726594,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9402.jpg,,,,,0,1,1,1,0,0,0,16,,,,,,,,,,,,,4.4,304.85724542207754,6.004410063040268,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/8231.jpg,,,,,0,1,1,1,0,1,1,13,,,,,,,,,,,,,4.6,315.51745691390533,6.000972992012976,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/6831.jpg,,,,,0,1,1,1,0,2,2,12,,,,,,,,,,,,,3.7,325.26411937165176,6.006097801575379,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3225.jpg,,,,,0,1,1,1,0,3,3,9,,,,,,,,,,,,,4.6,335.92210578184313,6.006657921609076,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/238.jpg,,,,,0,1,1,1,0,4,4,1,,,,,,,,,,,,,3.2,345.1766290077376,6.013807311650453,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/6571.jpg,,,,,0,1,1,1,0,5,5,11,,,,,,,,,,,,,4.3,355.53999163990375,6.005841480895469,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/245.jpg,,,,,0,1,1,1,0,6,6,2,,,,,,,,,,,,,3.0,364.58939993693093,6.006200778971106,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/223.jpg,,,,,0,1,1,1,0,7,7,0,,,,,,,,,,,,,4.1,374.73055788404235,6.006407054559531,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/2981.jpg,,,,,0,1,1,1,0,8,8,3,,,,,,,,,,,,,4.1,384.8903922732952,6.00596691442297,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3215.jpg,,,,,0,1,1,1,0,9,9,7,,,,,,,,,,,,,4.8,395.748101574849,6.005402303162555,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3016.jpg,,,,,0,1,1,1,0,10,10,4,,,,,,,,,,,,,3.4,405.17805272635087,6.012704715689324,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3220.jpg,,,,,0,1,1,1,0,11,11,8,,,,,,,,,,,,,5.0,416.23320722612516,6.001207498164149,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9373.jpg,,,,,0,1,1,1,0,12,12,14,,,,,,,,,,,,,3.7,425.98022673633204,6.008160557476003,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9405.jpg,,,,,0,1,1,1,0,13,13,18,,,,,,,,,,,,,4.8,436.8352342446997,6.014857616910376,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3101.jpg,,,,,0,1,1,1,0,14,14,5,,,,,,,,,,,,,4.9,447.7987186532482,6.004459145724468,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3181.jpg,,,,,0,1,1,1,0,15,15,6,,,,,,,,,,,,,4.2,458.0348329857443,6.015614709278452,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9403.jpg,,,,,0,1,1,1,0,16,16,17,,,,,,,,,,,,,4.5,468.6106479267055,6.013936915600425,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/6020.jpg,,,,,0,1,1,1,0,17,17,10,,,,,,,,,,,,,4.1,478.7688317904376,6.013710429493585,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9400.jpg,,,,,0,1,1,1,0,18,18,15,,,,,,,,,,,,,4.4,489.2171417902482,6.001550435341414,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9423.jpg,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,3.7,498.96639728935224,6.003284369346147,None,,,,,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
2,StimuliNegative.xlsx,1,ANSCHAUEN,22,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,178.14814814814815,5.619158158198843,87.03703703703705,2.304087432617962,,,,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/2703.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,0,0,6,,,,,3.1,,,,,,,,523.9764730338775,6.000464841881694,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9040.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,1,1,13,,,,,3.8,,,,,,,,533.8300488035857,6.010014150569987,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/3051.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,2,2,7,,,,,3.8,,,,,,,,543.684964241822,6.01532695001697,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/218.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,3,3,1,,,,,3.8,,,,,,,,553.5521657493337,6.014152815245325,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/3185.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,4,4,9,,,,,4.3,,,,,,,,563.9239497508806,6.003509251444484,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/6562.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,5,5,11,,,,,4.7,,,,,,,,574.6800710511943,6.009043083367942,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9042.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,6,6,14,,,,,4.5,,,,,,,,585.2369285275927,6.0110936487981235,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/3301.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,7,7,10,,,,,4.5,,,,,,,,595.7987934000794,6.002892670285291,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9904.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,8,8,19,,,,,3.6,,,,,,,,605.449597056835,6.0019052421903325,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/251.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,9,9,5,,,,,4.1,,,,,,,,615.586614414462,6.010679493607313,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/222.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,10,10,2,,,,,3.3,,,,,,,,624.9394027760263,6.005563987297137,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9043.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,11,11,15,,,,,4.8,,,,,,,,635.8177114060145,6.000311498595693,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/210.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,12,12,0,,,,,4.2,,,,,,,,646.0638469467194,6.007688657953622,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/246.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,13,13,4,,,,,3.1,,,,,,,,655.2087547466635,6.000888300326551,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9184.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,14,14,18,,,,,3.9,,,,,,,,665.1778660196742,6.013674820487722,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
3,,1,ABLENKEN,,Stimuli/9145.jpg,,StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,15,15,16,,,,,4.8,,,,,,,,676.0385154701889,6.008025179093238,None,,,,,,,,M05D02,2021_Oct_14_1555,ER,2021.1.4,59.96958416309927,
